suite,id,tp,fp,fn,pass,detail
pii,spoken-as-email-negative,0,0,0,True,
pii,written-as-email-negative,0,0,0,True,
pii,formatted-as-upi-negative,0,0,0,True,
pii,personal-spoken-email-positive,1,0,0,True,EMAIL:spoken_email_multilevel
pii,dl-owned-span-boundary,1,0,0,True,DRIVING_LICENSE:ownership_raw_dl_fallback
pii,dl-trailing-prose-boundary,1,0,0,True,DRIVING_LICENSE:ownership_raw_dl_fallback
pii,ifsc-comma-inside-corrupt-dictation,1,0,0,True,IFSC:ownership_raw_ifsc_fallback
pii,test-card-negative,0,0,0,True,
pii,public-phone-negative,0,0,0,True,
pii,public-pin-negative,0,0,0,True,
profanity,p1,1,0,0,True,fuck
profanity,p2,1,0,0,True,fuck
profanity,p3,1,0,0,True,shit
profanity,p4,1,0,0,True,shit
profanity,p5,1,0,0,True,bitch
profanity,p6,1,0,0,True,bitch
profanity,p7,1,0,0,True,asshole
profanity,p8,1,0,0,True,bastard
profanity,p9,1,0,0,True,madarchod
profanity,p10,1,0,0,True,bhenchod
profanity,p11,1,0,0,True,chutiya
profanity,p12,1,0,0,True,harami
profanity,p13,1,0,0,True,fuck
profanity,p14,1,0,0,True,shit
profanity,pn1,0,0,0,True,
profanity,pn2,0,0,0,True,
profanity,pn3,0,0,0,True,
profanity,pn4,0,0,0,True,
profanity,pn5,0,0,0,True,
profanity,pn6,0,0,0,True,
profanity,pn7,0,0,0,True,
profanity,pn8,0,0,0,True,
profanity,pn9,0,0,0,True,
profanity,pn10,0,0,0,True,
profanity,p15,1,0,0,True,gandu
profanity,p16,1,0,0,True,bakchod
profanity,p17,1,0,0,True,madarchod
profanity,pn11,0,0,0,True,
profanity,pn12,0,0,0,True,
