suite,id,tp,fp,fn,pass,detail
pii,v49-corrupt-owned-phone,1,0,0,True,PHONE:ownership_raw_phone_fallback
pii,v49-mixed-email,1,0,0,True,EMAIL:asr_mixed_email_at
pii,v49-email-delivery,1,0,0,True,EMAIL:asr_mixed_email_at
pii,v49-mixed-pan,1,0,0,True,PAN:spoken_pan_normalized
pii,v49-corrupt-ifsc,1,0,0,True,IFSC:ownership_raw_ifsc_fallback
pii,v49-mixed-upi,1,0,0,True,UPI:asr_mixed_upi_at
pii,v49-payment-upi,1,0,0,True,UPI:spoken_upi_normalized
pii,v49-corrupt-card,1,0,0,True,CARD:ownership_raw_card_fallback
pii,v49-corrupt-pin,1,0,0,True,PINCODE:ownership_raw_pincode_fallback
pii,v49-passport-nato-uppercase,1,0,0,True,PASSPORT:spoken_passport_normalized
pii,v49-fuzzy-dl-state,1,0,0,True,DRIVING_LICENSE:ownership_raw_dl_fallback
pii,v49-preferred-name,1,0,0,True,NAME:token_bounded_name_context
pii,v49-best-contact-number,1,0,0,True,PHONE:phone_context
pii,v49-mailing-address,1,0,0,True,ADDRESS:structured_clause_address
pii,v49-address-explanation-negative,0,0,0,True,
pii,v49-upi-explanation-negative,0,0,0,True,
pii,v49-public-helpline-negative,0,0,0,True,
pii,v49-test-card-negative,0,0,0,True,
pii,v49-public-postcode-negative,0,0,0,True,
profanity,p1,1,0,0,True,fuck
profanity,p2,1,0,0,True,fuck
profanity,p3,1,0,0,True,shit
profanity,p4,1,0,0,True,shit
profanity,p5,1,0,0,True,bitch
profanity,p6,1,0,0,True,bitch
profanity,p7,1,0,0,True,asshole
profanity,p8,1,0,0,True,bastard
profanity,p9,1,0,0,True,madarchod
profanity,p10,1,0,0,True,bhenchod
profanity,p11,1,0,0,True,chutiya
profanity,p12,1,0,0,True,harami
profanity,p13,1,0,0,True,fuck
profanity,p14,1,0,0,True,shit
profanity,pn1,0,0,0,True,
profanity,pn2,0,0,0,True,
profanity,pn3,0,0,0,True,
profanity,pn4,0,0,0,True,
profanity,pn5,0,0,0,True,
profanity,pn6,0,0,0,True,
profanity,pn7,0,0,0,True,
profanity,pn8,0,0,0,True,
profanity,pn9,0,0,0,True,
profanity,pn10,0,0,0,True,
profanity,p15,1,0,0,True,gandu
profanity,p16,1,0,0,True,bakchod
profanity,p17,1,0,0,True,madarchod
profanity,pn11,0,0,0,True,
profanity,pn12,0,0,0,True,
